,alpha,solver,tolerance,score
0,0.1,auto,1e-06,0.004447948261360074
1,0.1,auto,1e-06,0.00445938835770207
2,0.1,auto,1e-06,0.0008640252554710513
3,0.1,auto,1e-06,0.0014307014077997915
4,0.1,auto,1e-06,0.0037930760117808287
5,0.1,auto,1e-05,0.004447948261360074
6,0.1,auto,1e-05,0.00445938835770207
7,0.1,auto,1e-05,0.0008640252554710513
8,0.1,auto,1e-05,0.0014307014077997915
9,0.1,auto,1e-05,0.0037930760117808287
10,0.1,auto,0.0001,0.004447948261360074
11,0.1,auto,0.0001,0.00445938835770207
12,0.1,auto,0.0001,0.0008640252554710513
13,0.1,auto,0.0001,0.0014307014077997915
14,0.1,auto,0.0001,0.0037930760117808287
15,0.1,auto,0.001,0.004447948261360074
16,0.1,auto,0.001,0.00445938835770207
17,0.1,auto,0.001,0.0008640252554710513
18,0.1,auto,0.001,0.0014307014077997915
19,0.1,auto,0.001,0.0037930760117808287
20,0.1,auto,0.01,0.004447948261360074
21,0.1,auto,0.01,0.00445938835770207
22,0.1,auto,0.01,0.0008640252554710513
23,0.1,auto,0.01,0.0014307014077997915
24,0.1,auto,0.01,0.0037930760117808287
25,0.1,svd,1e-06,0.004447948261360063
26,0.1,svd,1e-06,0.004459388357701997
27,0.1,svd,1e-06,0.0008640252554710347
28,0.1,svd,1e-06,0.0014307014077997826
29,0.1,svd,1e-06,0.003793076011780837
30,0.1,svd,1e-05,0.004447948261360063
31,0.1,svd,1e-05,0.004459388357701997
32,0.1,svd,1e-05,0.0008640252554710347
33,0.1,svd,1e-05,0.0014307014077997826
34,0.1,svd,1e-05,0.003793076011780837
35,0.1,svd,0.0001,0.004447948261360063
36,0.1,svd,0.0001,0.004459388357701997
37,0.1,svd,0.0001,0.0008640252554710347
38,0.1,svd,0.0001,0.0014307014077997826
39,0.1,svd,0.0001,0.003793076011780837
40,0.1,svd,0.001,0.004447948261360063
41,0.1,svd,0.001,0.004459388357701997
42,0.1,svd,0.001,0.0008640252554710347
43,0.1,svd,0.001,0.0014307014077997826
44,0.1,svd,0.001,0.003793076011780837
45,0.1,svd,0.01,0.004447948261360063
46,0.1,svd,0.01,0.004459388357701997
47,0.1,svd,0.01,0.0008640252554710347
48,0.1,svd,0.01,0.0014307014077997826
49,0.1,svd,0.01,0.003793076011780837
50,0.1,cholesky,1e-06,0.004447948261360074
51,0.1,cholesky,1e-06,0.00445938835770207
52,0.1,cholesky,1e-06,0.0008640252554710513
53,0.1,cholesky,1e-06,0.0014307014077997915
54,0.1,cholesky,1e-06,0.0037930760117808287
55,0.1,cholesky,1e-05,0.004447948261360074
56,0.1,cholesky,1e-05,0.00445938835770207
57,0.1,cholesky,1e-05,0.0008640252554710513
58,0.1,cholesky,1e-05,0.0014307014077997915
59,0.1,cholesky,1e-05,0.0037930760117808287
60,0.1,cholesky,0.0001,0.004447948261360074
61,0.1,cholesky,0.0001,0.00445938835770207
62,0.1,cholesky,0.0001,0.0008640252554710513
63,0.1,cholesky,0.0001,0.0014307014077997915
64,0.1,cholesky,0.0001,0.0037930760117808287
65,0.1,cholesky,0.001,0.004447948261360074
66,0.1,cholesky,0.001,0.00445938835770207
67,0.1,cholesky,0.001,0.0008640252554710513
68,0.1,cholesky,0.001,0.0014307014077997915
69,0.1,cholesky,0.001,0.0037930760117808287
70,0.1,cholesky,0.01,0.004447948261360074
71,0.1,cholesky,0.01,0.00445938835770207
72,0.1,cholesky,0.01,0.0008640252554710513
73,0.1,cholesky,0.01,0.0014307014077997915
74,0.1,cholesky,0.01,0.0037930760117808287
75,0.1,lsqr,1e-06,0.004447948261359249
76,0.1,lsqr,1e-06,0.004459388357704875
77,0.1,lsqr,1e-06,0.0008640252554874587
78,0.1,lsqr,1e-06,0.0014307014078005983
79,0.1,lsqr,1e-06,0.00379307601179647
80,0.1,lsqr,1e-05,0.004447948261359249
81,0.1,lsqr,1e-05,0.004459388357704875
82,0.1,lsqr,1e-05,0.0008640252554874587
83,0.1,lsqr,1e-05,0.0014307014078005983
84,0.1,lsqr,1e-05,0.00379307601179647
85,0.1,lsqr,0.0001,0.004447948261359249
86,0.1,lsqr,0.0001,0.004459388357704875
87,0.1,lsqr,0.0001,0.0008640252554874587
88,0.1,lsqr,0.0001,0.0014307014078005983
89,0.1,lsqr,0.0001,0.00379307601179647
90,0.1,lsqr,0.001,0.004447948261359249
91,0.1,lsqr,0.001,0.004459388357704875
92,0.1,lsqr,0.001,0.0008640252554874587
93,0.1,lsqr,0.001,0.0014307014078005983
94,0.1,lsqr,0.001,0.00379307601179647
95,0.1,lsqr,0.01,0.0027528296963918644
96,0.1,lsqr,0.01,0.007382507208819279
97,0.1,lsqr,0.01,0.0007206683130248733
98,0.1,lsqr,0.01,0.003730325227132801
99,0.1,lsqr,0.01,0.0038069864357678207
100,0.1,sparse_cg,1e-06,0.004447948261362786
101,0.1,sparse_cg,1e-06,0.00445938835770724
102,0.1,sparse_cg,1e-06,0.0008640252554711028
103,0.1,sparse_cg,1e-06,0.0014307014077966384
104,0.1,sparse_cg,1e-06,0.0037930760117647526
105,0.1,sparse_cg,1e-05,0.004447948261362786
106,0.1,sparse_cg,1e-05,0.00445938835770724
107,0.1,sparse_cg,1e-05,0.0008640252554711028
108,0.1,sparse_cg,1e-05,0.0014307014077966384
109,0.1,sparse_cg,1e-05,0.0037930760117647526
110,0.1,sparse_cg,0.0001,0.004447948261362786
111,0.1,sparse_cg,0.0001,0.00445938835770724
112,0.1,sparse_cg,0.0001,0.0008640252554711028
113,0.1,sparse_cg,0.0001,0.0014307014077966384
114,0.1,sparse_cg,0.0001,0.0037930760117647526
115,0.1,sparse_cg,0.001,0.004447948261362786
116,0.1,sparse_cg,0.001,0.00445938835770724
117,0.1,sparse_cg,0.001,0.0008640252554711028
118,0.1,sparse_cg,0.001,0.0014307014077966384
119,0.1,sparse_cg,0.001,0.0037930760117647526
120,0.1,sparse_cg,0.01,0.002752829696391863
121,0.1,sparse_cg,0.01,0.007382507208819274
122,0.1,sparse_cg,0.01,0.0007206683130248733
123,0.1,sparse_cg,0.01,0.0037303252271328013
124,0.1,sparse_cg,0.01,0.0038069864357678207
125,0.1,sag,1e-06,0.0026966872941295893
126,0.1,sag,1e-06,0.006752551443757319
127,0.1,sag,1e-06,0.0005898172681292617
128,0.1,sag,1e-06,0.0031898840214460798
129,0.1,sag,1e-06,0.0037641390904110403
130,0.1,sag,1e-05,0.0026967666918918357
131,0.1,sag,1e-05,0.006752402515004169
132,0.1,sag,1e-05,0.0005897352276776255
133,0.1,sag,1e-05,0.003189966722956836
134,0.1,sag,1e-05,0.0037640769653994985
135,0.1,sag,0.0001,0.0026968150517451234
136,0.1,sag,0.0001,0.006752123145321403
137,0.1,sag,0.0001,0.0005898012173374097
138,0.1,sag,0.0001,0.003189675886824582
139,0.1,sag,0.0001,0.0037646364484209545
140,0.1,sag,0.001,0.0026932522430523497
141,0.1,sag,0.001,0.006799326119161961
142,0.1,sag,0.001,0.0005980778631958781
143,0.1,sag,0.001,0.0032272285253535722
144,0.1,sag,0.001,0.003766966998139678
145,0.1,sag,0.01,0.0027365316596241803
146,0.1,sag,0.01,0.007312038185215156
147,0.1,sag,0.01,0.0007021688527100421
148,0.1,sag,0.01,0.003669321966806353
149,0.1,sag,0.01,0.0038016378334219717
150,0.1,saga,1e-06,0.0026972331209337594
151,0.1,saga,1e-06,0.007045922891815933
152,0.1,saga,1e-06,0.0006409786769613911
153,0.1,saga,1e-06,0.003439666117743279
154,0.1,saga,1e-06,0.0037796897403639357
155,0.1,saga,1e-05,0.002697190784262342
156,0.1,saga,1e-05,0.007045894489339622
157,0.1,saga,1e-05,0.0006410526675049544
158,0.1,saga,1e-05,0.0034396089266793203
159,0.1,saga,1e-05,0.0037795425044120884
160,0.1,saga,0.0001,0.00269729699582418
161,0.1,saga,0.0001,0.007045804932484376
162,0.1,saga,0.0001,0.0006410363579095769
163,0.1,saga,0.0001,0.003439915273584648
164,0.1,saga,0.0001,0.0037799778839204944
165,0.1,saga,0.001,0.002698613679719616
166,0.1,saga,0.001,0.007060173697376985
167,0.1,saga,0.001,0.000644513092516465
168,0.1,saga,0.001,0.003451425751024609
169,0.1,saga,0.001,0.003781760895006842
170,0.1,saga,0.01,0.0027442522304515207
171,0.1,saga,0.01,0.007346747829567041
172,0.1,saga,0.01,0.0007111498131013145
173,0.1,saga,0.01,0.003699238602398467
174,0.1,saga,0.01,0.00380372143908024
175,1.0,auto,1e-06,0.004423469376491152
176,1.0,auto,1e-06,0.004471915318552528
177,1.0,auto,1e-06,0.0008584106888005572
178,1.0,auto,1e-06,0.0014373771444544563
179,1.0,auto,1e-06,0.00379235456930353
180,1.0,auto,1e-05,0.004423469376491152
181,1.0,auto,1e-05,0.004471915318552528
182,1.0,auto,1e-05,0.0008584106888005572
183,1.0,auto,1e-05,0.0014373771444544563
184,1.0,auto,1e-05,0.00379235456930353
185,1.0,auto,0.0001,0.004423469376491152
186,1.0,auto,0.0001,0.004471915318552528
187,1.0,auto,0.0001,0.0008584106888005572
188,1.0,auto,0.0001,0.0014373771444544563
189,1.0,auto,0.0001,0.00379235456930353
190,1.0,auto,0.001,0.004423469376491152
191,1.0,auto,0.001,0.004471915318552528
192,1.0,auto,0.001,0.0008584106888005572
193,1.0,auto,0.001,0.0014373771444544563
194,1.0,auto,0.001,0.00379235456930353
195,1.0,auto,0.01,0.004423469376491152
196,1.0,auto,0.01,0.004471915318552528
197,1.0,auto,0.01,0.0008584106888005572
198,1.0,auto,0.01,0.0014373771444544563
199,1.0,auto,0.01,0.00379235456930353
200,1.0,svd,1e-06,0.004423469376491145
201,1.0,svd,1e-06,0.004471915318552455
202,1.0,svd,1e-06,0.0008584106888005419
203,1.0,svd,1e-06,0.001437377144454447
204,1.0,svd,1e-06,0.003792354569303539
205,1.0,svd,1e-05,0.004423469376491145
206,1.0,svd,1e-05,0.004471915318552455
207,1.0,svd,1e-05,0.0008584106888005419
208,1.0,svd,1e-05,0.001437377144454447
209,1.0,svd,1e-05,0.003792354569303539
210,1.0,svd,0.0001,0.004423469376491145
211,1.0,svd,0.0001,0.004471915318552455
212,1.0,svd,0.0001,0.0008584106888005419
213,1.0,svd,0.0001,0.001437377144454447
214,1.0,svd,0.0001,0.003792354569303539
215,1.0,svd,0.001,0.004423469376491145
216,1.0,svd,0.001,0.004471915318552455
217,1.0,svd,0.001,0.0008584106888005419
218,1.0,svd,0.001,0.001437377144454447
219,1.0,svd,0.001,0.003792354569303539
220,1.0,svd,0.01,0.004423469376491145
221,1.0,svd,0.01,0.004471915318552455
222,1.0,svd,0.01,0.0008584106888005419
223,1.0,svd,0.01,0.001437377144454447
224,1.0,svd,0.01,0.003792354569303539
225,1.0,cholesky,1e-06,0.004423469376491152
226,1.0,cholesky,1e-06,0.004471915318552528
227,1.0,cholesky,1e-06,0.0008584106888005572
228,1.0,cholesky,1e-06,0.0014373771444544563
229,1.0,cholesky,1e-06,0.00379235456930353
230,1.0,cholesky,1e-05,0.004423469376491152
231,1.0,cholesky,1e-05,0.004471915318552528
232,1.0,cholesky,1e-05,0.0008584106888005572
233,1.0,cholesky,1e-05,0.0014373771444544563
234,1.0,cholesky,1e-05,0.00379235456930353
235,1.0,cholesky,0.0001,0.004423469376491152
236,1.0,cholesky,0.0001,0.004471915318552528
237,1.0,cholesky,0.0001,0.0008584106888005572
238,1.0,cholesky,0.0001,0.0014373771444544563
239,1.0,cholesky,0.0001,0.00379235456930353
