,Index,batch_size,num_nodes,memory_size,accuracy,epochs
0,0,64.0,1.0,1.0,0.1758,1
1,1,64.0,1.0,1.0,0.1696,1
2,2,64.0,1.0,1.0,0.1632,1
3,3,64.0,1.0,2.0,0.1814,1
4,4,64.0,1.0,2.0,0.1747,1
5,5,64.0,1.0,2.0,0.193,1
6,6,64.0,4.0,1.0,0.3029,2
7,7,64.0,4.0,1.0,0.2954,2
8,8,64.0,4.0,1.0,0.2941,2
9,9,64.0,4.0,2.0,0.279,2
10,10,64.0,4.0,2.0,0.3401,2
11,11,64.0,4.0,2.0,0.2201,2
12,12,512.0,1.0,1.0,0.0,0
13,13,512.0,1.0,1.0,0.0,0
14,14,512.0,1.0,1.0,0.0,0
15,15,512.0,1.0,2.0,0.1169,1
16,16,512.0,1.0,2.0,0.1216,1
17,17,512.0,1.0,2.0,0.1171,1
18,18,512.0,4.0,1.0,0.1874,7
19,19,512.0,4.0,1.0,0.1801,7
20,20,512.0,4.0,1.0,0.1852,7
21,21,512.0,4.0,2.0,0.1909,7
22,22,512.0,4.0,2.0,0.1706,7
23,23,512.0,4.0,2.0,0.1705,7
