,Index,batch_size,num_nodes,memory_size,accuracy,epochs
1,0,32,1,1024,0.2582,1
2,1,32,1,1024,0.3078,1
3,2,32,1,1024,0.2845,1
4,3,32,1,1024,0.2581,1
5,4,32,1,1024,0.2367,1
6,5,32,1,2048,0.2781,1
7,6,32,1,2048,0.2852,1
8,7,32,1,2048,0.2691,1
9,8,32,1,2048,0.3016,1
10,9,32,1,2048,0.2266,1
11,10,32,4,1024,0.2131,1
12,11,32,4,1024,0.2738,1
13,12,32,4,1024,0.2978,1
14,13,32,4,1024,0.203,1
15,14,32,4,1024,0.3173,1
16,15,32,4,2048,0.3039,1
17,16,32,4,2048,0.2298,1
18,17,32,4,2048,0.1996,1
19,18,32,4,2048,0.291,1
20,19,32,4,2048,0.2443,1
21,20,128,1,1024,0.1336,1
22,21,128,1,1024,0.1435,1
23,22,128,1,1024,0.1366,1
24,23,128,1,1024,0.1886,2
25,24,128,1,1024,0.1209,1
26,25,128,1,2048,0.1861,2
27,26,128,1,2048,0.1761,2
28,27,128,1,2048,0.168,2
29,28,128,1,2048,0.1735,2
30,29,128,1,2048,0.1821,2
31,30,128,4,1024,0.219,4
32,31,128,4,1024,0.2472,4
33,32,128,4,1024,0.3229,4
34,33,128,4,1024,0.2293,4
35,34,128,4,1024,0.2904,4
36,35,128,4,2048,0.2169,4
37,36,128,4,2048,0.317,4
38,37,128,4,2048,0.246,4
39,38,128,4,2048,0.3602,4
40,39,128,4,2048,0.2521,4
41,40,512,1,1024,0.0,0
42,41,512,1,1024,0.0,0
43,42,512,1,1024,0.0,0
44,43,512,1,1024,0.0,0
45,44,512,1,1024,0.0,0
46,45,512,1,2048,0.143,1
47,46,512,1,2048,0.0893,1
48,47,512,1,2048,0.1108,1
49,48,512,1,2048,0.1084,1
50,49,512,1,2048,0.1228,1
51,50,512,4,1024,0.175,7
52,51,512,4,1024,0.1615,7
53,52,512,4,1024,0.1609,7
54,53,512,4,1024,0.1758,7
55,54,512,4,1024,0.1623,7
56,55,512,4,2048,0.1721,7
57,56,512,4,2048,0.1639,7
58,57,512,4,2048,0.1577,6
59,58,512,4,2048,0.1668,7
60,59,512,4,2048,0.1763,7
61,60,32,2,1536,0.2068,1
62,61,32,2,1536,0.2772,1
63,62,32,2,1536,0.2938,1
64,63,32,2,1536,0.2144,1
65,64,32,2,1536,0.2467,1
66,65,128,2,1536,0.2002,3
67,66,128,2,1536,0.1993,3
68,67,128,2,1536,0.2146,3
69,68,128,2,1536,0.1953,3
70,69,128,2,1536,0.2092,3
71,70,512,2,1536,0.153,4
72,71,512,2,1536,0.1527,4
73,72,512,2,1536,0.1453,3
74,73,512,2,1536,0.1412,4
75,74,512,2,1536,0.1399,4
76,75,64,1,1536,0.1818,1
77,76,64,1,1536,0.1735,1
78,77,64,1,1536,0.1935,1
79,78,64,1,1536,0.1813,1
80,79,64,1,1536,0.1804,1
81,80,64,4,1536,0.3009,2
82,81,64,4,1536,0.2529,2
83,82,64,4,1536,0.323,2
84,83,64,4,1536,0.3184,2
85,84,64,4,1536,0.3166,2
86,85,256,1,1536,0.1474,2
87,86,256,1,1536,0.1575,2
88,87,256,1,1536,0.1595,2
89,88,256,1,1536,0.1627,2
90,89,256,1,1536,0.1381,2
91,90,256,4,1536,0.2032,5
92,91,256,4,1536,0.1799,5
93,92,256,4,1536,0.2006,5
94,93,256,4,1536,0.1789,5
95,94,256,4,1536,0.2039,5
96,95,1024,1,1536,0.0,0
97,96,1024,1,1536,0.0,0
98,97,1024,1,1536,0.0,0
99,98,1024,1,1536,0.0,0
100,99,1024,1,1536,0.0,0
101,100,1024,4,1536,0.1599,7
102,101,1024,4,1536,0.1587,7
103,102,1024,4,1536,0.1417,7
104,103,1024,4,1536,0.1487,7
105,104,1024,4,1536,0.1811,7
106,105,64,2,1024,0.2965,2
107,106,64,2,1024,0.1782,1
108,107,64,2,1024,0.3104,2
109,108,64,2,1024,0.2241,2
110,109,64,2,1024,0.2839,2
111,110,64,2,2048,0.2718,2
112,111,64,2,2048,0.2263,2
113,112,64,2,2048,0.2715,2
114,113,64,2,2048,0.2338,2
115,114,64,2,2048,0.2469,2
116,115,256,2,1024,0.1607,3
117,116,256,2,1024,0.1625,3
118,117,256,2,1024,0.1796,3
119,118,256,2,1024,0.1651,3
120,119,256,2,1024,0.1743,3
121,120,256,2,2048,0.1616,3
122,121,256,2,2048,0.1639,3
123,122,256,2,2048,0.1693,3
124,123,256,2,2048,0.1724,4
125,124,256,2,2048,0.1643,4
126,130,1024,2,2048,0.1308,2
127,131,1024,2,2048,0.1301,2
128,132,1024,2,2048,0.173,2
129,133,1024,2,2048,0.1163,3
130,134,1024,2,2048,0.1512,3
