,0,1,2
0,32,1,1024
1,32,1,1024
2,32,1,1024
3,32,1,1024
4,32,1,1024
5,32,1,2048
6,32,1,2048
7,32,1,2048
8,32,1,2048
9,32,1,2048
10,32,3,1024
11,32,3,1024
12,32,3,1024
13,32,3,1024
14,32,3,1024
15,32,3,2048
16,32,3,2048
17,32,3,2048
18,32,3,2048
19,32,3,2048
20,128,1,1024
21,128,1,1024
22,128,1,1024
23,128,1,1024
24,128,1,1024
25,128,1,2048
26,128,1,2048
27,128,1,2048
28,128,1,2048
29,128,1,2048
30,128,3,1024
31,128,3,1024
32,128,3,1024
33,128,3,1024
34,128,3,1024
35,128,3,2048
36,128,3,2048
37,128,3,2048
38,128,3,2048
39,128,3,2048
40,512,1,1024
41,512,1,1024
42,512,1,1024
43,512,1,1024
44,512,1,1024
45,512,1,2048
46,512,1,2048
47,512,1,2048
48,512,1,2048
49,512,1,2048
50,512,3,1024
51,512,3,1024
52,512,3,1024
53,512,3,1024
54,512,3,1024
55,512,3,2048
56,512,3,2048
57,512,3,2048
58,512,3,2048
59,512,3,2048
60,32,2,1536
61,32,2,1536
62,32,2,1536
63,32,2,1536
64,32,2,1536
65,32,4,1536
66,32,4,1536
67,32,4,1536
68,32,4,1536
69,32,4,1536
70,128,2,1536
71,128,2,1536
72,128,2,1536
73,128,2,1536
74,128,2,1536
75,128,4,1536
76,128,4,1536
77,128,4,1536
78,128,4,1536
79,128,4,1536
80,512,2,1536
81,512,2,1536
82,512,2,1536
83,512,2,1536
84,512,2,1536
85,512,4,1536
86,512,4,1536
87,512,4,1536
88,512,4,1536
89,512,4,1536
90,64,1,1536
91,64,1,1536
92,64,1,1536
93,64,1,1536
94,64,1,1536
95,64,3,1536
96,64,3,1536
97,64,3,1536
98,64,3,1536
99,64,3,1536
100,256,1,1536
101,256,1,1536
102,256,1,1536
103,256,1,1536
104,256,1,1536
105,256,3,1536
106,256,3,1536
107,256,3,1536
108,256,3,1536
109,256,3,1536
110,1024,1,1536
111,1024,1,1536
112,1024,1,1536
113,1024,1,1536
114,1024,1,1536
115,1024,3,1536
116,1024,3,1536
117,1024,3,1536
118,1024,3,1536
119,1024,3,1536
120,64,2,1024
121,64,2,1024
122,64,2,1024
123,64,2,1024
124,64,2,1024
125,64,2,2048
126,64,2,2048
127,64,2,2048
128,64,2,2048
129,64,2,2048
130,64,4,1024
131,64,4,1024
132,64,4,1024
133,64,4,1024
134,64,4,1024
135,64,4,2048
136,64,4,2048
137,64,4,2048
138,64,4,2048
139,64,4,2048
140,256,2,1024
141,256,2,1024
142,256,2,1024
143,256,2,1024
144,256,2,1024
145,256,2,2048
146,256,2,2048
147,256,2,2048
148,256,2,2048
149,256,2,2048
150,256,4,1024
151,256,4,1024
152,256,4,1024
153,256,4,1024
154,256,4,1024
155,256,4,2048
156,256,4,2048
157,256,4,2048
158,256,4,2048
159,256,4,2048
160,1024,2,1024
161,1024,2,1024
162,1024,2,1024
163,1024,2,1024
164,1024,2,1024
165,1024,2,2048
166,1024,2,2048
167,1024,2,2048
168,1024,2,2048
169,1024,2,2048
170,1024,4,1024
171,1024,4,1024
172,1024,4,1024
173,1024,4,1024
174,1024,4,1024
175,1024,4,2048
176,1024,4,2048
177,1024,4,2048
178,1024,4,2048
179,1024,4,2048
